1. CROSS, SNOVA, HAWK: 59123 bytes
2. CROSS, SNOVA, FALCON: 58319 bytes
3. CROSS, SNOVA, DILITHIUM: 63941 bytes
4. SNOVA, MQOM, HAWK: 14034 bytes
5. SNOVA, MQOM, FALCON: 13233 bytes
6. SNOVA, MQOM, DILITHIUM: 18852 bytes
7. MAYO, MQOM, HAWK: 18848 bytes
8. CROSS, SNOVA, MQOM: 58583 bytes
9. CROSS, MAYO, HAWK: 63933 bytes
10. CROSS, MAYO, FALCON: 63137 bytes
11. CROSS, MAYO, DILITHIUM: 68751 bytes
12. CROSS, MQOM, HAWK: 59529 bytes
13. CROSS, MQOM, FALCON: 58725 bytes
14. CROSS, MQOM, DILITHIUM: 64348 bytes
15. MAYO, MQOM, FALCON: 18043 bytes
16. MAYO, MQOM, DILITHIUM: 23666 bytes
17. CROSS, MAYO, MQOM: 63397 bytes
18. SNOVA, HAWK, FAEST: 37706 bytes
19. SNOVA, FALCON, FAEST: 36901 bytes
20. SNOVA, DILITHIUM, FAEST: 42524 bytes
21. MAYO, HAWK, FAEST: 42516 bytes
22. MAYO, FALCON, FAEST: 41715 bytes
23. MAYO, DILITHIUM, FAEST: 47334 bytes
24. MQOM, HAWK, FAEST: 38112 bytes
25. CROSS, SNOVA, FAEST: 82255 bytes
26. CROSS, HAWK, FAEST: 83198 bytes
27. CROSS, FALCON, FAEST: 82393 bytes
28. CROSS, DILITHIUM, FAEST: 88016 bytes
29. MQOM, DILITHIUM, FAEST: 42930 bytes
30. SNOVA, MQOM, FAEST: 37165 bytes
31. MQOM, FALCON, FAEST: 37312 bytes
32. CROSS, MAYO, FAEST: 87069 bytes
33. MAYO, MQOM, FAEST: 41979 bytes
34. CROSS, MQOM, FAEST: 82661 bytes
35. SNOVA, PERK, FALCON: 40692 bytes
36. SNOVA, PERK, HAWK: 41500 bytes
37. SNOVA, PERK, DILITHIUM: 46318 bytes
38. MAYO, PERK, HAWK: 46314 bytes
39. CROSS, PERK, HAWK: 86996 bytes
40. CROSS, PERK, FALCON: 86179 bytes
41. MAYO, PERK, FALCON: 45514 bytes
42. MAYO, PERK, DILITHIUM: 51132 bytes
