1. CROSS, SNOVA, HAWK: 59156 bytes
2. CROSS, SNOVA, FALCON: 58351 bytes
3. CROSS, SNOVA, DILITHIUM: 63974 bytes
4. SNOVA, MQOM, HAWK: 14066 bytes
5. SNOVA, MQOM, FALCON: 13262 bytes
6. SNOVA, MQOM, DILITHIUM: 18884 bytes
7. MAYO, MQOM, HAWK: 18880 bytes
8. CROSS, SNOVA, MQOM: 58615 bytes
9. CROSS, MAYO, HAWK: 63966 bytes
10. CROSS, MAYO, FALCON: 63174 bytes
11. CROSS, MAYO, DILITHIUM: 68784 bytes
12. CROSS, MQOM, HAWK: 59562 bytes
13. CROSS, MQOM, FALCON: 58762 bytes
14. CROSS, MQOM, DILITHIUM: 64380 bytes
15. MAYO, MQOM, FALCON: 18080 bytes
16. MAYO, MQOM, DILITHIUM: 23698 bytes
17. CROSS, MAYO, MQOM: 63429 bytes
18. SNOVA, DILITHIUM, FAEST: 42556 bytes
19. SNOVA, HAWK, FAEST: 37738 bytes
20. SNOVA, FALCON, FAEST: 36934 bytes
21. CROSS, HAWK, FAEST: 83230 bytes
22. MAYO, HAWK, FAEST: 42548 bytes
23. MAYO, DILITHIUM, FAEST: 47366 bytes
24. CROSS, SNOVA, FAEST: 82288 bytes
25. CROSS, FALCON, FAEST: 82430 bytes
26. SNOVA, MQOM, FAEST: 37198 bytes
27. MAYO, FALCON, FAEST: 41740 bytes
28. MQOM, HAWK, FAEST: 38144 bytes
29. MQOM, FALCON, FAEST: 37332 bytes
30. MQOM, DILITHIUM, FAEST: 42963 bytes
31. CROSS, DILITHIUM, FAEST: 88048 bytes
32. CROSS, MQOM, FAEST: 82694 bytes
33. MAYO, MQOM, FAEST: 42012 bytes
34. CROSS, MAYO, FAEST: 87102 bytes
35. SNOVA, PERK, FALCON: 40732 bytes
36. SNOVA, PERK, DILITHIUM: 46351 bytes
37. SNOVA, PERK, HAWK: 41533 bytes
38. MAYO, PERK, HAWK: 46347 bytes
39. MAYO, PERK, DILITHIUM: 51165 bytes
40. CROSS, SNOVA, PERK: 86082 bytes
41. CROSS, PERK, HAWK: 87029 bytes
42. CROSS, PERK, FALCON: 86224 bytes
43. MAYO, PERK, FALCON: 45542 bytes
44. PERK, HAWK, FAEST: 65611 bytes
45. SNOVA, PERK, FAEST: 64664 bytes
46. PERK, FALCON, FAEST: 64807 bytes
47. PERK, DILITHIUM, FAEST: 70429 bytes
48. SNOVA, SDITH, HAWK: 55914 bytes
49. SNOVA, SDITH, DILITHIUM: 60732 bytes
50. SNOVA, SDITH, FALCON: 55105 bytes
51. MAYO, PERK, FAEST: 69479 bytes
52. MAYO, SDITH, HAWK: 60728 bytes
53. MAYO, SDITH, FALCON: 59924 bytes
54. MAYO, SDITH, DILITHIUM: 65546 bytes
55. SNOVA, SDITH, FAEST: 79050 bytes
56. SDITH, HAWK, FAEST: 79992 bytes
57. SDITH, FALCON, FAEST: 79188 bytes
58. SDITH, DILITHIUM, FAEST: 84810 bytes
59. MAYO, SDITH, FAEST: 83860 bytes
60. CROSS, DILITHIUM, SQISIGN: 60529 bytes
61. SNOVA, RYDE, HAWK: 25831 bytes
62. CROSS, HAWK, SQISIGN: 55711 bytes
63. CROSS, MAYO, RYDE: 75194 bytes
64. CROSS, RYDE, HAWK: 71327 bytes
65. SNOVA, RYDE, DILITHIUM: 30649 bytes
66. CROSS, SNOVA, RYDE: 70380 bytes
67. CROSS, SNOVA, SQISIGN: 54768 bytes
68. CROSS, RYDE, FALCON: 70523 bytes
69. SNOVA, HAWK, SQISIGN: 10215 bytes
70. SNOVA, FALCON, SQISIGN: 9406 bytes
71. MAYO, RYDE, FALCON: 29841 bytes
72. MAYO, RYDE, HAWK: 30645 bytes
73. MAYO, RYDE, FAEST: 53777 bytes
74. SNOVA, RYDE, FALCON: 25023 bytes
75. SNOVA, DILITHIUM, SQISIGN: 15033 bytes
76. RYDE, HAWK, FAEST: 49909 bytes
77. RYDE, DILITHIUM, FAEST: 54728 bytes
78. CROSS, FALCON, SQISIGN: 54906 bytes
