130. MAYO, DILITHIUM, SPHINCS: 1728 ms
131. MQOM, HAWK, SPHINCS: 1729 ms
132. SNOVA, MQOM, SPHINCS: 1730 ms
133. MAYO, HAWK, SPHINCS: 1731 ms
134. SNOVA, HAWK, SPHINCS: 1731 ms
135. MQOM, FALCON, SPHINCS: 1733 ms
136. MAYO, FALCON, SPHINCS: 1734 ms
137. MAYO, MQOM, SPHINCS: 1736 ms
138. MIRATH, DILITHIUM, FAEST: 1769 ms
139. PERK, DILITHIUM, SPHINCS: 1780 ms
140. PERK, HAWK, SPHINCS: 1781 ms
141. MAYO, PERK, SPHINCS: 1783 ms
142. SNOVA, PERK, SPHINCS: 1783 ms
143. PERK, FALCON, SPHINCS: 1784 ms
144. MAYO, MIRATH, HAWK: 1817 ms
145. MIRATH, HAWK, SQISIGN: 1842 ms
146. CROSS, SNOVA, MIRATH: 1870 ms
147. SNOVA, MIRATH, FAEST: 1874 ms
148. SNOVA, MIRATH, HAWK: 1904 ms
149. MIRATH, DILITHIUM, SQISIGN: 1915 ms
150. RYDE, DILITHIUM, SPHINCS: 1922 ms
151. SNOVA, MIRATH, SQISIGN: 1927 ms
152. RYDE, FALCON, SPHINCS: 1930 ms
153. DILITHIUM, SPHINCS, SQISIGN: 1931 ms
154. HAWK, SPHINCS, SQISIGN: 1954 ms
155. SNOVA, RYDE, SPHINCS: 1958 ms
156. MAYO, RYDE, SPHINCS: 1959 ms
157. SNOVA, SPHINCS, SQISIGN: 1960 ms
158. FALCON, SPHINCS, SQISIGN: 1961 ms
159. RYDE, HAWK, SPHINCS: 1965 ms
160. PERK, SPHINCS, SQISIGN: 2008 ms
161. MQOM, SPHINCS, SQISIGN: 2008 ms
162. MAYO, SPHINCS, SQISIGN: 2014 ms
163. SDITH, SPHINCS, SQISIGN: 2040 ms
164. MAYO, MIRATH, FAEST: 2088 ms
165. CROSS, MIRATH, HAWK: 2132 ms
166. CROSS, MIRATH, DILITHIUM: 2151 ms
167. SNOVA, MIRATH, DILITHIUM: 2153 ms
168. RYDE, SPHINCS, SQISIGN: 2165 ms
169. MIRATH, FALCON, SQISIGN: 2221 ms
170. CROSS, MIRATH, SQISIGN: 2225 ms
171. MAYO, MIRATH, FALCON: 2272 ms
172. MIRATH, HAWK, FAEST: 2468 ms
173. MIRATH, FAEST, SQISIGN: 2636 ms
174. MAYO, MIRATH, SQISIGN: 2759 ms
175. MIRATH, FALCON, FAEST: 2997 ms
176. SNOVA, MIRATH, SPHINCS: 3403 ms
177. MIRATH, HAWK, SPHINCS: 3489 ms
178. MIRATH, SPHINCS, SQISIGN: 3648 ms
179. MAYO, MIRATH, SPHINCS: 3668 ms
180. MIRATH, FALCON, SPHINCS: 3764 ms
181. MIRATH, DILITHIUM, SPHINCS: 3876 ms
182. CROSS, MAYO, PERK: 10000000000.0 ms
183. CROSS, MAYO, SDITH: 10000000000.0 ms
184. CROSS, QRUOV, RYDE: 10000000000.0 ms
185. CROSS, QRUOV, PERK: 10000000000.0 ms
186. CROSS, QRUOV, MIRATH: 10000000000.0 ms
187. CROSS, QRUOV, MQOM: 10000000000.0 ms
