1. CROSS, SNOVA, HAWK: 6 ms
2. CROSS, SNOVA, FALCON: 6 ms
3. CROSS, SNOVA, DILITHIUM: 6 ms
4. CROSS, MAYO, HAWK: 8 ms
5. CROSS, MAYO, FALCON: 8 ms
6. CROSS, MAYO, DILITHIUM: 8 ms
7. SNOVA, MQOM, HAWK: 8 ms
8. SNOVA, MQOM, FALCON: 8 ms
9. SNOVA, MQOM, DILITHIUM: 8 ms
10. CROSS, SNOVA, MQOM: 10 ms
11. MAYO, MQOM, HAWK: 10 ms
12. MAYO, MQOM, FALCON: 10 ms
13. CROSS, MQOM, HAWK: 11 ms
14. CROSS, MQOM, FALCON: 11 ms
15. CROSS, MQOM, DILITHIUM: 11 ms
16. MAYO, MQOM, DILITHIUM: 11 ms
17. CROSS, MAYO, MQOM: 13 ms
18. SNOVA, HAWK, FAEST: 21 ms
19. SNOVA, FALCON, FAEST: 22 ms
20. SNOVA, DILITHIUM, FAEST: 22 ms
21. CROSS, QRUOV, HAWK: 25 ms
22. CROSS, QRUOV, FALCON: 25 ms
23. CROSS, QRUOV, DILITHIUM: 25 ms
24. MAYO, HAWK, FAEST: 25 ms
25. MAYO, FALCON, FAEST: 25 ms
26. CROSS, SNOVA, FAEST: 26 ms
27. CROSS, HAWK, FAEST: 26 ms
28. CROSS, FALCON, FAEST: 26 ms
29. QRUOV, MQOM, HAWK: 26 ms
30. QRUOV, MQOM, FALCON: 26 ms
31. QRUOV, MQOM, DILITHIUM: 26 ms
32. MQOM, HAWK, FAEST: 26 ms
33. MQOM, DILITHIUM, FAEST: 26 ms
34. CROSS, DILITHIUM, FAEST: 27 ms
35. SNOVA, MQOM, FAEST: 27 ms
36. MAYO, DILITHIUM, FAEST: 27 ms
37. CROSS, MAYO, FAEST: 28 ms
38. CROSS, QRUOV, MQOM: 29 ms
39. CROSS, MQOM, FAEST: 29 ms
40. SNOVA, PERK, HAWK: 29 ms
41. SNOVA, PERK, DILITHIUM: 29 ms
42. MAYO, MQOM, FAEST: 29 ms
43. MQOM, FALCON, FAEST: 29 ms
44. MAYO, PERK, DILITHIUM: 30 ms
45. SNOVA, PERK, FALCON: 30 ms
46. MAYO, PERK, HAWK: 31 ms
47. MAYO, PERK, FALCON: 31 ms
48. CROSS, SNOVA, PERK: 32 ms
49. CROSS, PERK, HAWK: 32 ms
