128. MAYO, MIRATH, FALCON: 15986 sec
129. MIRATH, DILITHIUM, FAEST: 15994 sec
130. MIRATH, FALCON, FAEST: 16650 sec
131. MIRATH, FAEST, SQISIGN: 16796 sec
132. SNOVA, DILITHIUM, SPHINCS: 17219 sec
133. SNOVA, MIRATH, FALCON: 17236 sec
134. MAYO, FALCON, SPHINCS: 17316 sec
135. MQOM, FALCON, SPHINCS: 17331 sec
136. SNOVA, MQOM, SPHINCS: 17367 sec
137. MQOM, HAWK, SPHINCS: 17389 sec
138. MQOM, DILITHIUM, SPHINCS: 17443 sec
139. MAYO, DILITHIUM, SPHINCS: 17448 sec
140. MAYO, MQOM, SPHINCS: 17489 sec
141. SNOVA, HAWK, SPHINCS: 17507 sec
142. MIRATH, HAWK, SQISIGN: 17522 sec
143. MAYO, HAWK, SPHINCS: 17573 sec
144. SNOVA, FALCON, SPHINCS: 17627 sec
145. SNOVA, MIRATH, FAEST: 17752 sec
146. SNOVA, PERK, SPHINCS: 17806 sec
147. PERK, FALCON, SPHINCS: 17832 sec
148. PERK, DILITHIUM, SPHINCS: 17913 sec
149. MAYO, PERK, SPHINCS: 17939 sec
150. PERK, HAWK, SPHINCS: 17955 sec
151. SNOVA, RYDE, SPHINCS: 19191 sec
152. RYDE, DILITHIUM, SPHINCS: 19258 sec
153. RYDE, HAWK, SPHINCS: 19334 sec
154. HAWK, SPHINCS, SQISIGN: 19430 sec
155. CROSS, MIRATH, DILITHIUM: 19512 sec
156. MAYO, RYDE, SPHINCS: 19517 sec
157. RYDE, FALCON, SPHINCS: 19662 sec
158. FALCON, SPHINCS, SQISIGN: 19711 sec
159. SNOVA, SPHINCS, SQISIGN: 19850 sec
160. CROSS, MIRATH, HAWK: 19879 sec
161. SDITH, SPHINCS, SQISIGN: 19884 sec
162. MQOM, SPHINCS, SQISIGN: 19933 sec
163. PERK, SPHINCS, SQISIGN: 20098 sec
164. MAYO, SPHINCS, SQISIGN: 20342 sec
165. DILITHIUM, SPHINCS, SQISIGN: 20425 sec
166. MIRATH, FALCON, SQISIGN: 21255 sec
167. RYDE, SPHINCS, SQISIGN: 21447 sec
168. CROSS, MIRATH, FALCON: 21462 sec
169. MAYO, MIRATH, HAWK: 21822 sec
170. MIRATH, HAWK, FAEST: 22871 sec
171. MAYO, MIRATH, SQISIGN: 23514 sec
172. SNOVA, MIRATH, DILITHIUM: 24075 sec
173. CROSS, MIRATH, SQISIGN: 26392 sec
174. MIRATH, DILITHIUM, SQISIGN: 28546 sec
175. SNOVA, MIRATH, SPHINCS: 32790 sec
176. MIRATH, FALCON, SPHINCS: 32797 sec
177. MIRATH, HAWK, SPHINCS: 34551 sec
178. MAYO, MIRATH, SPHINCS: 34574 sec
179. MIRATH, DILITHIUM, SPHINCS: 36273 sec
180. MIRATH, SPHINCS, SQISIGN: 41262 sec
181. CROSS, SNOVA, MIRATH: 42497 sec
182. CROSS, MAYO, PERK: 10000000000.0 sec
183. CROSS, MAYO, SDITH: 10000000000.0 sec
184. CROSS, QRUOV, RYDE: 10000000000.0 sec
185. CROSS, QRUOV, PERK: 10000000000.0 sec
186. CROSS, QRUOV, MIRATH: 10000000000.0 sec
187. CROSS, QRUOV, MQOM: 10000000000.0 sec
188. CROSS, QRUOV, SDITH: 10000000000.0 sec
189. CROSS, SNOVA, SDITH: 10000000000.0 sec
190. LESS, MAYO, RYDE: 10000000000.0 sec
191. LESS, MAYO, PERK: 10000000000.0 sec
192. LESS, MAYO, MIRATH: 10000000000.0 sec
193. LESS, MAYO, MQOM: 10000000000.0 sec
194. LESS, MAYO, SDITH: 10000000000.0 sec
195. LESS, QRUOV, RYDE: 10000000000.0 sec
196. LESS, QRUOV, PERK: 10000000000.0 sec
197. LESS, QRUOV, MIRATH: 10000000000.0 sec
198. LESS, QRUOV, MQOM: 10000000000.0 sec
199. LESS, QRUOV, SDITH: 10000000000.0 sec
200. LESS, SNOVA, RYDE: 10000000000.0 sec
201. LESS, SNOVA, PERK: 10000000000.0 sec
202. LESS, SNOVA, MIRATH: 10000000000.0 sec
203. LESS, SNOVA, MQOM: 10000000000.0 sec
204. LESS, SNOVA, SDITH: 10000000000.0 sec
205. CROSS, QRUOV, HAWK: 10000000000.0 sec
206. CROSS, QRUOV, FALCON: 10000000000.0 sec
207. CROSS, QRUOV, DILITHIUM: 10000000000.0 sec
208. LESS, MAYO, HAWK: 10000000000.0 sec
209. LESS, MAYO, FALCON: 10000000000.0 sec
210. LESS, MAYO, DILITHIUM: 10000000000.0 sec
211. LESS, QRUOV, HAWK: 10000000000.0 sec
212. LESS, QRUOV, FALCON: 10000000000.0 sec
213. LESS, QRUOV, DILITHIUM: 10000000000.0 sec
214. LESS, SNOVA, HAWK: 10000000000.0 sec
215. LESS, SNOVA, FALCON: 10000000000.0 sec
216. LESS, SNOVA, DILITHIUM: 10000000000.0 sec
217. CROSS, MAYO, SPHINCS: 10000000000.0 sec
218. CROSS, QRUOV, SPHINCS: 10000000000.0 sec
219. CROSS, QRUOV, FAEST: 10000000000.0 sec
220. CROSS, SNOVA, SPHINCS: 10000000000.0 sec
221. LESS, MAYO, SPHINCS: 10000000000.0 sec
222. LESS, MAYO, FAEST: 10000000000.0 sec
223. LESS, QRUOV, SPHINCS: 10000000000.0 sec
224. LESS, QRUOV, FAEST: 10000000000.0 sec
225. LESS, SNOVA, SPHINCS: 10000000000.0 sec
226. LESS, SNOVA, FAEST: 10000000000.0 sec
227. CROSS, QRUOV, SQISIGN: 10000000000.0 sec
228. LESS, MAYO, SQISIGN: 10000000000.0 sec
229. LESS, QRUOV, SQISIGN: 10000000000.0 sec
230. LESS, SNOVA, SQISIGN: 10000000000.0 sec
231. CROSS, PERK, DILITHIUM: 10000000000.0 sec
232. CROSS, SDITH, HAWK: 10000000000.0 sec
233. CROSS, SDITH, FALCON: 10000000000.0 sec
234. CROSS, SDITH, DILITHIUM: 10000000000.0 sec
235. LESS, RYDE, HAWK: 10000000000.0 sec
236. LESS, RYDE, FALCON: 10000000000.0 sec
237. LESS, RYDE, DILITHIUM: 10000000000.0 sec
238. LESS, PERK, HAWK: 10000000000.0 sec
239. LESS, PERK, FALCON: 10000000000.0 sec
240. LESS, PERK, DILITHIUM: 10000000000.0 sec
241. LESS, MIRATH, HAWK: 10000000000.0 sec
242. LESS, MIRATH, FALCON: 10000000000.0 sec
243. LESS, MIRATH, DILITHIUM: 10000000000.0 sec
244. LESS, MQOM, HAWK: 10000000000.0 sec
245. LESS, MQOM, FALCON: 10000000000.0 sec
246. LESS, MQOM, DILITHIUM: 10000000000.0 sec
247. LESS, SDITH, HAWK: 10000000000.0 sec
248. LESS, SDITH, FALCON: 10000000000.0 sec
249. LESS, SDITH, DILITHIUM: 10000000000.0 sec
250. CROSS, RYDE, SPHINCS: 10000000000.0 sec
251. CROSS, RYDE, FAEST: 10000000000.0 sec
252. CROSS, PERK, SPHINCS: 10000000000.0 sec
253. CROSS, PERK, FAEST: 10000000000.0 sec
254. CROSS, MIRATH, SPHINCS: 10000000000.0 sec
255. CROSS, MIRATH, FAEST: 10000000000.0 sec
256. CROSS, MQOM, SPHINCS: 10000000000.0 sec
257. CROSS, SDITH, SPHINCS: 10000000000.0 sec
258. CROSS, SDITH, FAEST: 10000000000.0 sec
259. LESS, RYDE, SPHINCS: 10000000000.0 sec
260. LESS, RYDE, FAEST: 10000000000.0 sec
261. LESS, PERK, SPHINCS: 10000000000.0 sec
262. LESS, PERK, FAEST: 10000000000.0 sec
263. LESS, MIRATH, SPHINCS: 10000000000.0 sec
264. LESS, MIRATH, FAEST: 10000000000.0 sec
265. LESS, MQOM, SPHINCS: 10000000000.0 sec
266. LESS, MQOM, FAEST: 10000000000.0 sec
267. LESS, SDITH, SPHINCS: 10000000000.0 sec
268. LESS, SDITH, FAEST: 10000000000.0 sec
269. CROSS, SDITH, SQISIGN: 10000000000.0 sec
270. LESS, RYDE, SQISIGN: 10000000000.0 sec
271. LESS, PERK, SQISIGN: 10000000000.0 sec
272. LESS, MIRATH, SQISIGN: 10000000000.0 sec
273. LESS, MQOM, SQISIGN: 10000000000.0 sec
274. LESS, SDITH, SQISIGN: 10000000000.0 sec
275. CROSS, HAWK, SPHINCS: 10000000000.0 sec
276. CROSS, FALCON, SPHINCS: 10000000000.0 sec
277. CROSS, DILITHIUM, SPHINCS: 10000000000.0 sec
278. LESS, HAWK, SPHINCS: 10000000000.0 sec
279. LESS, HAWK, FAEST: 10000000000.0 sec
280. LESS, FALCON, SPHINCS: 10000000000.0 sec
281. LESS, FALCON, FAEST: 10000000000.0 sec
282. LESS, DILITHIUM, SPHINCS: 10000000000.0 sec
283. LESS, DILITHIUM, FAEST: 10000000000.0 sec
284. LESS, HAWK, SQISIGN: 10000000000.0 sec
285. LESS, FALCON, SQISIGN: 10000000000.0 sec
286. LESS, DILITHIUM, SQISIGN: 10000000000.0 sec
287. CROSS, SPHINCS, SQISIGN: 10000000000.0 sec
288. LESS, SPHINCS, SQISIGN: 10000000000.0 sec
289. LESS, FAEST, SQISIGN: 10000000000.0 sec
290. QRUOV, RYDE, HAWK: 10000000000.0 sec
291. QRUOV, RYDE, FALCON: 10000000000.0 sec
292. QRUOV, RYDE, DILITHIUM: 10000000000.0 sec
293. QRUOV, PERK, HAWK: 10000000000.0 sec
294. QRUOV, PERK, FALCON: 10000000000.0 sec
295. QRUOV, PERK, DILITHIUM: 10000000000.0 sec
296. QRUOV, MIRATH, HAWK: 10000000000.0 sec
297. QRUOV, MIRATH, FALCON: 10000000000.0 sec
